[ 2018-01-17 09:55:44 ]  ||  Текст ошибки: Could not connect to database (asutp).  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 929
*** *** *** *** ***
[ 2018-01-17 09:57:47 ]  ||  Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'asutp.category' doesn't exist  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 735
*** *** *** *** ***
[ 2018-01-17 09:58:21 ]  ||  Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'asutp.category' doesn't exist  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 735
*** *** *** *** ***
[ 2018-01-17 09:58:58 ]  ||  Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'asutp.category' doesn't exist  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 735
*** *** *** *** ***
[ 2018-01-17 09:59:08 ]  ||  Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'asutp.category' doesn't exist  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 735
*** *** *** *** ***
[ 2018-01-17 09:59:34 ]  ||  Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'asutp.category' doesn't exist  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 735
*** *** *** *** ***
[ 2018-01-17 09:59:56 ]  ||  Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'asutp.category' doesn't exist  ||  Файл: /var/www/dev/asutp/vendor/framework/libs/rb.php  ||  Строка: 735
*** *** *** *** ***
[ 2018-01-17 12:51:47 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 12:56:10 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:00:13 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:53:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:54:17 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:54:27 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:54:50 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:55:21 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-17 13:55:47 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-30 14:04:11 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-30 15:18:02 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-30 16:07:56 ]  ||  Текст ошибки: Котроллер <b>app\controllers\BootstrapController</b> не найден.  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 109
*** *** *** *** ***
[ 2018-01-31 11:42:06 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-31 11:42:07 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-01-31 11:42:07 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
